ACCIDENT_NO,NODE_ID,NODE_TYPE,VICGRID94_X,VICGRID94_Y,LGA_NAME,LGA_NAME_ALL,REGION_NAME,DEG_URBAN_NAME,Lat,Long,POSTCODE_NO,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060000309,202824,N,2520242.205,2414828.38,MANNINGHAM,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-37.76729021,145.2297544,3114,23/1/06,9:10:00,4,Collision with a fixed object,1,Monday,175,OFF END OF ROAD/T-INTERSECTION.               ,MEL,43,89,F,7,1,Day,347480,1,1,1,0,0,0,1,2,T intersection,2,50
T20060000309,202824,N,2520242.205,2414828.38,MANNINGHAM,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.76729021,145.2297544,3134,23/1/06,10:10:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,MEL,40,140,D,6,1,Day,43939,1,1,0,1,0,0,1,1,Cross intersection,3,100
T20060000309,202824,N,2520242.205,2414828.38,MANNINGHAM,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-37.76729021,145.2297544,3134,22/1/06,12:30:00,5,collision with some other object,1,Sunday,166,STRUCK OBJECT ON CARRIAGEWAY                ,VCS,9,694,D,4,1,Day,205195,1,1,0,1,0,0,2,5,Not at intersection,3,60
T20060000313,201518,N,2500559.894,2350794.671,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.34439061,145.0064038,3936,23/1/06,12:45:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH                        ,MEL,40,138,H,7,1,Day,43935,2,2,1,0,0,1,1,3,Y intersection,2,100
T20060000315,43993,I,2509515.193,2363144.695,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.23309357,145.1086697,3933,3/1/06,12:50:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,19,B,4,1,Day,201447,1,1,0,0,1,0,1,5,Not at intersection,1,110
T20060000317,3079,N,2496620.363,2420929.607,MORELAND,MORELAND,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.7125302,144.961668,3046,23/1/06,16:00:00,1,Collision with vehicle,2,Monday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,MEL,40,100A,H,11,1,Day,202829,5,5,1,0,0,4,1,2,T intersection,2,80
T20060000326,347480,I,2515505.579,2390709.667,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98468554,145.1765001,3173,23/1/06,16:00:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH                        ,MEL,40,91,A,12,1,Day,43141,2,6,1,0,0,5,1,2,T intersection,2,80
T20060000332,43939,I,2518893.952,2366738.596,CASEY,"CASEY,MORNINGTON PENINSULA,FRANKSTON",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.20057474,145.215688,3911,23/1/06,16:25:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,110,D,11,1,Day,43630,2,7,0,3,0,4,1,2,T intersection,2,80
T20060000337,205195,N,2674571.689,2391840.131,WELLINGTON,WELLINGTON,EASTERN REGION,TOWNS,-37.95821946,146.9865957,3860,23/1/06,17:15:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,168,K,6,1,Day,45973,2,4,1,1,0,2,1,1,Cross intersection,3,50
T20060000343,43935,I,2527921.067,2371226.92,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.15991374,145.3185669,3978,23/1/06,15:30:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,80,G,11,1,Day,202837,4,6,0,4,0,2,1,5,Not at intersection,3,80
