"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003774","26/2/19",06:15:00,"Collision with vehicle","Tuesday","Dusk/Dawn",2,3,"Cross intersection",2,60,"B",2006,"TRAY","HOLDEN","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",48,"40-49","Drivers"
"T20190003777","27/2/19",04:30:00,"Collision with a fixed object","Wednesday","Dark Street lights on",1,2,"T intersection",2,60,"A",2014,"COUPE","TOYOTA","Car","M",22,"22-25","Drivers"
"T20190003778","12/2/19",15:26:00,"Struck Pedestrian","Tuesday","Day",1,2,"Not at intersection",3,40,"A",2001,"WAGON","HONDA","Station Wagon","F",23,"22-25","Drivers"
"T20190003781","22/2/19",17:25:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"A",1996,"SEDAN","TOYOTA","Car","M",34,"30-39","Drivers"
"T20190003785","27/2/19",08:01:00,"Collision with vehicle","Wednesday","Day",2,3,"Cross intersection",3,100,"A",0,"SED","FORD","Car","F",23,"22-25","Drivers"
"T20190003785","27/2/19",08:01:00,"Collision with vehicle","Wednesday","Day",2,3,"Cross intersection",3,100,"B",2007,"DC UTE","MITSUB","Utility","F",49,"40-49","Drivers"
"T20190003789","27/2/19",10:01:00,"Struck Pedestrian","Wednesday","Day",1,2,"Not at intersection",3,40,"A",2001,"VAN","TOYOTA","Panel Van","M",70,"70+","Drivers"
"T20190003795","27/2/19",06:33:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",2,80,"A",2007,"DC UTE","HOLDEN","Utility","M",20,"17-21","Drivers"
"T20190003795","27/2/19",06:33:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",2,80,"B",2007,"SEDAN","TOYOTA","Car","M",21,"17-21","Drivers"
"T20190003796","26/2/19",18:21:00,"Collision with vehicle","Tuesday","Day",2,2,"Cross intersection",3,60,"A",2011,"SEDAN","TOYOTA","Car","M",31,"30-39","Drivers"
