"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","LGA_NAME","REGION_NAME","Lat","Long","Surface Cond Desc","Atmosph Cond Desc"
"T20190000286","6/1/19",01:15:00,"Other accident","Sunday","Unknown",1,2,"Cross intersection",2,60,"MILDURA","WESTERN REGION",-34.20185852,142.172081,"Dry","Not known"
"T20190000288","5/1/19",22:35:00,"Collision with a fixed object","Saturday","Dark No street lights",1,2,"Not at intersection",2,80,"BAW BAW","EASTERN REGION",-38.13111373,145.9227721,"Dry","Clear"
"T20190000299","6/1/19",06:10:00,"Collision with a fixed object","Sunday","Dusk/Dawn",1,1,"Not at intersection",2,80,"MURRINDINDI","NORTH EASTERN REGION",-37.48051561,145.2502202,"Dry","Clear"
"T20190000302","6/1/19",11:00:00,"Collision with vehicle","Sunday","Day",2,2,"T intersection",3,60,"HUME","METROPOLITAN NORTH WEST REGION",-37.63944119,144.9194811,"Dry","Clear"
"T20190000303","6/1/19",10:45:00,"Collision with vehicle","Sunday","Day",2,2,"Cross intersection",3,40,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.7693459,144.9990195,"Dry","Clear"
"T20190000304","6/1/19",08:45:00,"Collision with a fixed object","Sunday","Day",1,1,"Not at intersection",2,80,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.57010107,145.5089029,"Dry","Clear"
"T20190000305","6/1/19",10:28:00,"Collision with vehicle","Sunday","Day",2,3,"Cross intersection",3,60,"MANNINGHAM","METROPOLITAN SOUTH EAST REGION",-37.75909533,145.1299213,"Dry","Clear"
"T20190000307","6/1/19",12:15:00,"Collision with vehicle","Sunday","Day",2,5,"Not at intersection",2,80,"KNOX","METROPOLITAN SOUTH EAST REGION",-37.89928121,145.2221606,"Dry","Clear"
"T20190000308","6/1/19",12:05:00,"Collision with vehicle","Sunday","Day",2,3,"T intersection",3,100,"MOORABOOL","WESTERN REGION",-37.77674861,144.4363589,"Dry","Clear"
"T20190000309","6/1/19",12:32:00,"Collision with vehicle","Sunday","Day",3,4,"Multiple intersection",2,60,"GEELONG","SOUTH WESTERN REGION",-38.05860629,144.3584486,"Dry","Clear"
"T20190000312","6/1/19",12:35:00,"Collision with vehicle","Sunday","Day",2,2,"T intersection",2,80,"MITCHELL","NORTHERN REGION",-37.42309416,144.9786098,"Dry","Clear"
"T20190000315","4/1/19",20:40:00,"No collision and no object struck","Friday","Dusk/Dawn",2,2,"Cross intersection",3,80,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.93253217,145.1562187,"Dry","Not known"
